Seconds,Longitude,Latitude,Altitude
42365.308,-2.835696107,55.89095781,64.7
42365.341,-2.835696656,55.89095866,64.8
42365.375,-2.835697267,55.89095964,64.8
42365.408,-2.835697853,55.89096062,64.8
42365.442,-2.835698411,55.89096158,64.8
42365.476,-2.835699271,55.89096248,64.8
42365.51,-2.835699822,55.89096343,64.8
42365.543,-2.835700344,55.89096437,64.8
42365.577,-2.835700838,55.8909653,64.8
42365.611,-2.835701244,55.89096609,64.8
42365.644,-2.8357017,55.89096701,64.9
42365.677,-2.835702614,55.89096805,64.9
42365.711,-2.835703014,55.89096885,64.9
42365.745,-2.83570346,55.89096976,64.9
42365.778,-2.835703886,55.89097067,64.9
42365.812,-2.835704293,55.89097157,64.9
42365.846,-2.835704628,55.89097234,64.9
42365.879,-2.835705355,55.89097342,64.9
42365.912,-2.835705725,55.89097433,64.9
42365.946,-2.835706025,55.89097511,64.9
42365.979,-2.835706361,55.890976,64.9
42366.012,-2.835706685,55.89097689,64.9
42366.046,-2.835706955,55.89097764,64.9
42366.079,-2.83570752,55.89097866,64.9
42366.113,-2.835707814,55.89097952,64.9
42366.146,-2.835708054,55.89098026,64.9
42366.18,-2.835708325,55.89098111,64.9
42366.213,-2.835708595,55.89098195,64.9
42366.247,-2.835708866,55.89098278,64.9
42366.281,-2.835709359,55.89098362,64.9
42366.314,-2.835709634,55.89098444,64.9
42366.348,-2.835709908,55.89098526,65
42366.381,-2.835710147,55.89098596,65
42366.415,-2.835710426,55.89098676,65
42366.448,-2.8357107,55.89098756,65
42366.482,-2.835711207,55.89098848,65
42366.516,-2.835711451,55.89098917,65
42366.549,-2.835711737,55.89098997,65
42366.583,-2.835712026,55.89099076,65
42366.616,-2.835712276,55.89099144,65
42366.65,-2.83571257,55.89099224,65
42366.684,-2.835713082,55.8909931,65
42366.717,-2.8357134,55.89099389,65
42366.751,-2.835713679,55.89099457,65
42366.785,-2.835714013,55.89099535,65
42366.818,-2.835714361,55.89099614,65
42366.852,-2.835714863,55.89099702,65
42366.886,-2.835715178,55.89099772,65
42366.919,-2.835715557,55.89099854,65
42366.953,-2.835715952,55.89099937,65
42366.986,-2.835716305,55.8910001,65
42367.02,-2.835716732,55.89100095,65
42367.053,-2.83571716,55.8910018,65
42367.087,-2.835717615,55.89100265,65
42367.121,-2.835717995,55.89100338,65
42367.154,-2.835718451,55.89100425,65
42367.188,-2.835718924,55.89100513,65
42367.221,-2.835719343,55.89100591,65
42367.255,-2.835719865,55.89100697,65
42367.288,-2.835720373,55.89100797,65
42367.322,-2.835720895,55.89100899,65
42367.356,-2.835721353,55.89100987,65
42367.389,-2.835721903,55.89101092,65
42367.423,-2.83572247,55.89101198,65
42367.456,-2.835722906,55.8910131,65
42367.49,-2.835723475,55.89101423,65
42367.524,-2.835724066,55.89101537,65
42367.557,-2.835724674,55.89101651,65
42367.591,-2.83572521,55.8910175,65
42367.625,-2.835725851,55.89101866,65
42367.658,-2.83572634,55.89102,65
42367.692,-2.83572696,55.89102117,65
42367.726,-2.835727509,55.89102218,65
42367.759,-2.835728171,55.89102335,65
42367.793,-2.835728858,55.89102452,65
42367.826,-2.83572946,55.89102551,65
42367.86,-2.835729962,55.89102675,65
42367.893,-2.835730639,55.89102787,65
42367.927,-2.835731326,55.89102898,65
42367.961,-2.835731926,55.89102993,65
42367.994,-2.835732639,55.89103102,65
42368.027,-2.83573337,55.8910321,65
42368.061,-2.835733916,55.89103286,65.1
42368.094,-2.835734474,55.891034,65.1
42368.128,-2.835735199,55.89103501,65.1
42368.162,-2.835735928,55.89103601,65.1
42368.196,-2.835736555,55.89103686,65.1
42368.229,-2.835737293,55.89103784,65.1
42368.263,-2.835737762,55.89103879,65.1
42368.297,-2.835738494,55.89103976,65.1
42368.331,-2.835739135,55.89104059,65.1
42368.364,-2.835739901,55.89104156,65.1
42368.397,-2.835740686,55.89104252,65.1
42368.431,-2.83574137,55.89104334,65.1
42368.465,-2.835741807,55.89104425,65.1
42368.498,-2.835742561,55.89104519,65.1
42368.532,-2.835743334,55.89104613,65.1
42368.566,-2.83574401,55.89104694,65.1
42368.599,-2.835744815,55.89104789,65.1
42368.633,-2.835745637,55.89104883,65.1
42368.666,-2.835746014,55.8910496,65.1
42368.7,-2.835746825,55.89105054,65.1
42368.733,-2.835747652,55.89105147,65.1
42368.767,-2.835748495,55.89105241,65.1
42368.801,-2.835749232,55.89105321,65.1
42368.834,-2.835750106,55.89105415,65.1
